,分類,名称,採用番号,品名1,数量,必須記載事項など,画像ファイル
,家電・調理器具,ケーブルコモンネット三重,1,パナソニック　ビエラ,1,CCM賞,001.jpg
,食品,ZTV,2,"朝日屋　お肉券（10,000円分）",3,ZTV賞,002.jpg
,食品,ZTV,3,キホクニヤ特選セット,6,地域応援賞,003.jpg
,食品,伊賀上野ケーブルテレビ,4,"金谷商品券（10,000円分）",3,ICT賞,004.jpg
,食品,伊賀上野ケーブルテレビ,5,IGAMONO詰合せ,10,地域応援賞,005.jpg
,食品,松阪ケーブルテレビ,6,"七輪焼肉　炭や　お食事券（5,000円分）",6,MCTV賞,006.jpg
,食品,松阪ケーブルテレビ,7,"「大洋丸」鯛の切り身（5,000円分）",6,地域応援賞,007.jpg
,ホビー・リラックス,旅チャンネル,8,JTB　えらべるギフト,3,カタログ式ギフトの有効期限は2021年9月末までです。,008.jpg
,キッズ,フジテレビONE・TWO・NEXT,9,あつ森セット,1,,009.jpg
,キッズ,スターチャンネル,10,Nintendo Switch Lite,1,,010.jpg
,家電・調理器具,囲碁・将棋チャンネル,11,ダイソン　ドライヤー（B、P）,3,色は選べません,011.jpg
,家電・調理器具,女性チャンネル♪LaLaTV,12,レコルト　Home BBQ,1,,012.jpg
,家電・調理器具,シネフィルWOWOW,13,パナソニック　コーヒーメーカー,1,,013.jpg
,アウトドア・スポーツ,J SPORTS,14,ノースフェイス　PRE-HAB,1,,014.jpg
,アウトドア・スポーツ,スカイA,15,TOUR B　ボールギフトセット,3,,015.jpg
,ホビー・リラックス,ミュージック・エア,16,YAMAHA　トールボーイスピーカー,1,,016.jpg
,家電・調理器具,CNNｊ,17,タニタ　体組成計,3,,017.jpg
,家電・調理器具,日経CNBC,18,オリジナルペアタンブラー,2,,018.jpg
,キッズ,アニマックス,19,ふわふわぬいぐるみ S まる子,3,© さくらプロダクション / 日本アニメーション,019.jpg
,キッズ,テレ朝チャンネル1.2,20,ドラえもん野球盤＆ぬいぐるみ,2,©藤子プロ・小学館・テレビ朝日・シンエイ・ＡＤＫ,020.jpg
,キッズ,キッズステーション,21,アンパンマン カラフルおでかけ砂場セット,3,©やなせたかし／フレーベル館・TMS・NTV,021.jpg
,家電・調理器具,チャンネル銀河,22,Panasonic　衣類スチーマー,1,ガイド誌掲載,022.jpg
,家電・調理器具,アジアドラマチックTV,23,ヴィダル サスーン　ヘアドライヤー,3,ガイド誌掲載,023.jpg
,家電・調理器具,Ｖ☆パラダイス,24,ツインバード　コードレス　ハンディクリーナー,1,,024.jpg
,家電・調理器具,ショップチャンネル,25,クーンリコン　調理補助鍋ユニバーサルポット,1,,025.jpg
,家電・調理器具,ファミリー劇場,26,アイリスオーヤマ　炊飯器5.5合炊き,1,ガイド誌掲載,026.jpg
,家電・調理器具,映画・チャンネルNECO,27,マキタ　充電式クリーナー,1,,027.jpg
,家電・調理器具,日テレG+,28,ロゴ入りサーモス真空断熱タンブラー,3,,028.jpg
,アウトドア・スポーツ,ディスカバリーチャンネル,29,パタゴニア製リュック,1,,029.jpg
,アウトドア・スポーツ,アニマルプラネット,30,アニマルプラネット　ゴ入りサンシェード,3,,030.jpg
,アウトドア・スポーツ,GAORA　SPORTS,31,ＧＡＯＲＡ特製ヨガマット,3,,031.jpg
,アウトドア・スポーツ,釣りビジョン,32,オリジナル　ライフジャケット（ショルダータイプ）,3,,032.jpg
,ホビー・リラックス,ムービープラス,33,ルルド　マッサージクッション,1,,033.jpg
,ホビー・リラックス,MUSIC　ON! TV（エムオン！）,34,ソニー　ワイヤレスポータブルスピーカー,3,,034.jpg
,ホビー・リラックス,AXN（ソニー・ピクチャーズ エンターテインメント）,35,ソニー　ワイヤレスヘッドセット,3,ガイド誌掲載,035.jpg
,ホビー・リラックス,スーパー！ドラマTV,36,ヒポポタマス　バスタオル,2,2枚1セット,036.jpg
,ホビー・リラックス,MONDO　TV　,37,ANKER　Bluetoothコンパクトスピーカー,3,,037.jpg
,ホビー・リラックス,MTV,38,SHURE　ワイヤレスイヤフォン,1,,038.jpg
,ホビー・リラックス,歌謡ポップスチャンネル,39,カラオケ1番,1,ガイド誌掲載,039.jpg
,キッズ,カートゥーンネットワーク,40,「ぼくらベアベアーズ」ぬいぐるみセット,3,,040.jpg
,,,,,101,,